stint_id,player_id,real_name,country,current_team,player_status,stint_number,total_stints,team,date_start,date_end,date_range,stint_status,is_current_team,duration_days,year_start,year_end,roles,player_url
1,10K,Théo Navaro,France,,Active,1,9,Megakich,2021-01-19,2021-05-02,2021-01-19 — 2021-05-02,Active,False,103,2021,2021,[],https://liquipedia.net/valorant/10K
2,10K,Théo Navaro,France,,Active,2,9,Team Finest,2021-05-31,2021-08-12,2021-05-31 — 2021-08-12,Active,False,73,2021,2021,[],https://liquipedia.net/valorant/10K
3,10K,Théo Navaro,France,,Active,3,9,Orgless22,2022-01-04,2022-02-11,2022-01-04 — 2022-02-11,Active,False,38,2022,2022,[],https://liquipedia.net/valorant/10K
4,10K,Théo Navaro,France,,Active,4,9,Dsyre,2022-02-11,2022-04-19,2022-02-11 — 2022-04-19,Active,False,67,2022,2022,[],https://liquipedia.net/valorant/10K
5,10K,Théo Navaro,France,,Active,5,9,Valar Morghulis,2022-04-20,2022-07-04,2022-04-20 — 2022-07-04,Active,False,75,2022,2022,[],https://liquipedia.net/valorant/10K
6,10K,Théo Navaro,France,,Active,6,9,VMS,2022-07-04,2022-10-06,2022-07-04 — 2022-10-06,Inactive,False,94,2022,2022,[],https://liquipedia.net/valorant/10K
7,10K,Théo Navaro,France,,Active,7,9,GMT Esports,2022-10-06,2022-12-04,2022-10-06 — 2022-12-04,Active,False,59,2022,2022,[],https://liquipedia.net/valorant/10K
8,10K,Théo Navaro,France,,Active,8,9,GMT,2022-12-04,2023-03-25,2022-12-04 — 2023-03-25,Inactive,False,111,2022,2023,[],https://liquipedia.net/valorant/10K
9,10K,Théo Navaro,France,,Active,9,9,Akroma,2023-04-02,,2023-04-02 — 2023-??-??,Active,False,0,2023,2026,[],https://liquipedia.net/valorant/10K
10,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,1,11,StartedFromCS,2020-05-13,2020-09-01,2020-05-13 — 2020-09-01,Active,False,111,2020,2020,[],https://liquipedia.net/valorant/AKUMAAAAA
11,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,2,11,Opportunists,2020-09-14,2020-11-26,2020-09-14 — 2020-11-26,Active,False,73,2020,2020,[],https://liquipedia.net/valorant/AKUMAAAAA
12,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,3,11,DfuseTeam,2020-11-26,2021-03-31,2020-11-26 — 2021-03-31,Active,False,125,2020,2021,[],https://liquipedia.net/valorant/AKUMAAAAA
13,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,4,11,Opportunists,2021-03-31,2021-04-15,2021-03-31 — 2021-04-15,Active,False,15,2021,2021,[],https://liquipedia.net/valorant/AKUMAAAAA
14,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,5,11,Team BDS,2021-04-15,2022-02-13,2021-04-15 — 2022-02-13,Active,False,304,2021,2022,[],https://liquipedia.net/valorant/AKUMAAAAA
15,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,6,11,Mandatory,2022-04-11,2024-08-18,2022-04-11 — 2024-08-18,Active,False,860,2022,2024,[],https://liquipedia.net/valorant/AKUMAAAAA
16,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,7,11,MDR,2024-08-18,2024-09-13,2024-08-18 — 2024-09-13,Inactive,False,26,2024,2024,[],https://liquipedia.net/valorant/AKUMAAAAA
17,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,8,11,Joblife,2024-12-29,2025-05-25,2024-12-29 — 2025-05-25,Active,False,147,2024,2025,[],https://liquipedia.net/valorant/AKUMAAAAA
18,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,9,11,Joblife,2025-05-25,2025-10-30,2025-05-25 — 2025-10-30,Inactive,False,158,2025,2025,[],https://liquipedia.net/valorant/AKUMAAAAA
19,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,10,11,Nuxeria Esport,2025-10-30,2026-01-05,2025-10-30 — 2026-01-05,Active,False,67,2025,2026,[],https://liquipedia.net/valorant/AKUMAAAAA
20,AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,11,11,Esprit Shōnen,2026-01-05,Present,2026-01-05 —Present,Active,True,38,2026,2026,[],https://liquipedia.net/valorant/AKUMAAAAA
21,APO,Tom Bonnion,France,,Active,1,11,Cave Canem,2020-12-14,2021-01-12,2020-12-14 — 2021-01-12,Active,False,29,2020,2021,[],https://liquipedia.net/valorant/APO
22,APO,Tom Bonnion,France,,Active,2,11,Entropiq,2021-02-03,2021-06-01,2021-02-03 — 2021-06-01,Active,False,118,2021,2021,[],https://liquipedia.net/valorant/APO
