transition_id,player_id,real_name,country,from_team,to_team,from_stint_status,to_stint_status,transition_date,transition_year,from_duration_days,stint_number
1,10K,Théo Navaro,France,Megakich,Team Finest,Active,Active,2021-05-31,2021,103,1
2,10K,Théo Navaro,France,Team Finest,Orgless22,Active,Active,2022-01-04,2022,73,2
3,10K,Théo Navaro,France,Orgless22,Dsyre,Active,Active,2022-02-11,2022,38,3
4,10K,Théo Navaro,France,Dsyre,Valar Morghulis,Active,Active,2022-04-20,2022,67,4
5,10K,Théo Navaro,France,Valar Morghulis,VMS,Active,Inactive,2022-07-04,2022,75,5
6,10K,Théo Navaro,France,VMS,GMT Esports,Inactive,Active,2022-10-06,2022,94,6
7,10K,Théo Navaro,France,GMT Esports,GMT,Active,Inactive,2022-12-04,2022,59,7
8,10K,Théo Navaro,France,GMT,Akroma,Inactive,Active,2023-04-02,2023,111,8
9,AKUMAAAAA,Alex Lo Bello,France,StartedFromCS,Opportunists,Active,Active,2020-09-14,2020,111,1
10,AKUMAAAAA,Alex Lo Bello,France,Opportunists,DfuseTeam,Active,Active,2020-11-26,2020,73,2
11,AKUMAAAAA,Alex Lo Bello,France,DfuseTeam,Opportunists,Active,Active,2021-03-31,2021,125,3
12,AKUMAAAAA,Alex Lo Bello,France,Opportunists,Team BDS,Active,Active,2021-04-15,2021,15,4
13,AKUMAAAAA,Alex Lo Bello,France,Team BDS,Mandatory,Active,Active,2022-04-11,2022,304,5
14,AKUMAAAAA,Alex Lo Bello,France,Mandatory,MDR,Active,Inactive,2024-08-18,2024,860,6
15,AKUMAAAAA,Alex Lo Bello,France,MDR,Joblife,Inactive,Active,2024-12-29,2024,26,7
16,AKUMAAAAA,Alex Lo Bello,France,Joblife,Joblife,Active,Inactive,2025-05-25,2025,147,8
17,AKUMAAAAA,Alex Lo Bello,France,Joblife,Nuxeria Esport,Inactive,Active,2025-10-30,2025,158,9
18,AKUMAAAAA,Alex Lo Bello,France,Nuxeria Esport,Esprit Shōnen,Active,Active,2026-01-05,2026,67,10
19,APO,Tom Bonnion,France,Cave Canem,Entropiq,Active,Active,2021-02-03,2021,29,1
20,APO,Tom Bonnion,France,Entropiq,Megastitut,Active,Active,2021-06-18,2021,118,2
21,APO,Tom Bonnion,France,Megastitut,Bonsoir,Active,Active,2021-07-13,2021,25,3
22,APO,Tom Bonnion,France,Bonsoir,Last Dance,Active,Active,2021-10-18,2021,97,4
23,APO,Tom Bonnion,France,Last Dance,Mandatory,Active,Active,2022-01-28,2022,102,5
24,APO,Tom Bonnion,France,Mandatory,M8,Active,Stand-in,2023-02-03,2023,165,6
25,APO,Tom Bonnion,France,M8,Gentle Mates,Stand-in,Active,2023-05-04,2023,90,7
26,APO,Tom Bonnion,France,Gentle Mates,Solary,Active,Active,2023-12-10,2023,196,8
27,APO,Tom Bonnion,France,Solary,Solary,Active,Inactive,2024-08-26,2024,260,9
28,APO,Tom Bonnion,France,Solary,Retired,Inactive,Active,2024-12-24,2024,34,10
29,Akio,Emil Tichit,France,MGA Esport,Colors Esport,Active,Active,2025-05-26,2025,44,1
30,Akita,Esllene Xu,France,Cicadas Krew,F9 Wonders,Active,Active,2024-04-19,2024,79,1
31,Akita,Esllene Xu,France,F9 Wonders,ZERANCE MINT,Active,Active,2024-07-06,2024,76,2
32,Akita,Esllene Xu,France,ZERANCE MINT,G2 Gozen,Active,Active,2025-04-28,2025,296,3
33,BaWaN,Loic Martello,France,beGenius ESC,3DMAX,Active,Coach,2023-04-03,2023,300,1
34,BaWaN,Loic Martello,France,3DMAX,3DMAX,Coach,Active,2023-09-18,2023,168,2
35,Babax,Baptiste Bertrand,France,ZERANCE,Mandatory,Active,Active,2022-09-19,2022,0,1
36,Babax,Baptiste Bertrand,France,Mandatory,ZERANCE,Active,Active,2023-01-10,2023,84,2
37,Babax,Baptiste Bertrand,France,ZERANCE,F9 EICAR,Active,Active,2025-03-28,2025,792,3
38,Babax,Baptiste Bertrand,France,F9 EICAR,ToDoBew,Active,Active,2025-06-05,2025,69,4
39,Ché,Clément Doufar,France,Exalty,NOMAD,Active,Active,2024-02-15,2024,101,1
40,Ché,Clément Doufar,France,NOMAD,Valiant Legacy,Active,Active,2025-03-07,2025,149,2
41,Ché,Clément Doufar,France,Valiant Legacy,Vestige,Active,Active,2025-11-03,2025,241,3
42,Ché,Clément Doufar,France,Vestige,Coalesce,Active,Active,2026-01-16,2026,74,4
