player_id,real_name,country,current_team,player_status,total_teams,unique_teams,teams_played_multiple_times,career_start_date,career_end_date,career_start_year,career_end_year,career_span_years,total_career_days,avg_stint_duration_days,is_active,has_current_team,inactive_stints,loan_stints,standin_stints,roles,birth_date,player_url
InsaneDINI,Diyar-Ikrar Ceviz,Austria,Bodax Gaming,Active,2,2,0,27/05/24,31/01/26,2024,2026,2,442,221,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/InsaneDINI
Kongi,Matthias Schranz,Austria,,Active,5,5,0,14/09/21,Present,2021,2026,5,1393,278.6,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Kongi
Marco,Marco Gleirscher,Austria,,Active,5,5,0,31/07/20,23/03/24,2020,2024,4,535,107,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Marco
Matrixx,Iljas Amagow,Austria,,Active,6,4,2,09/06/20,11/07/24,2020,2024,4,1128,188,TRUE,FALSE,2,0,0,[],,https://liquipedia.net/valorant/Matrixx
Rexon,Rudolf Svikis,Austria,,Active,7,7,0,07/08/20,02/09/24,2020,2026,6,654,93.42857143,TRUE,FALSE,1,0,0,[],,https://liquipedia.net/valorant/Rexon
eNes,Enes Bulut,Austria,VALORANDO,Active,4,3,1,27/09/22,Present,2022,2026,4,794,198.5,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/ENes
litshii,Armin Pervan,Austria,,Active,10,10,0,09/01/22,25/01/25,2022,2025,3,732,73.2,TRUE,FALSE,2,0,0,[],,https://liquipedia.net/valorant/Litshii
samed,Samed Topbas,Austria,CGN Esports,Active,7,6,1,27/04/23,Present,2023,2026,3,464,66.28571429,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Samed
z7eus,Justin Reiß,Austria,,Active,8,7,1,17/09/21,24/10/24,2021,2026,5,697,87.125,TRUE,FALSE,1,0,0,[],,https://liquipedia.net/valorant/Z7eus
Jupi,Daniela Gradl,Austria,GIANTX(Streamer),Active,8,8,0,21/09/20,Present,2020,2026,6,1871,233.875,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/Jupi
6clarity,Igor Martens,Belgium,KRC Genk Esports,Active,3,3,0,22/01/24,Present,2024,2026,2,447,149,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/6clarity
Bazy,Bilal Z'bair,Belgium,,Active,2,1,1,23/04/20,,2020,2026,6,0,0,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Bazy
DrloffTV,Maaikel Coens,Belgium,BLUEJAYS,Active,1,1,0,17/07/25,Present,2025,2026,1,220,220,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/DrloffTV
Flickless,Karel Ivo Maeckelbergh,Belgium,GIANTX,Active,7,7,0,01/10/21,Present,2021,2026,5,1477,211,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/Flickless
JohnieBoy,Tim Hakim,Belgium,F9 EICAR,Active,6,6,0,20/04/23,Present,2023,2026,3,833,138.8333333,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/JohnieBoy
JorisBE,Joris Jans,Belgium,,Active,1,1,0,19/11/20,14/05/21,2020,2021,1,176,176,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/JorisBE
Kinguyen,Thach Nguyen,Belgium,,Active,4,3,1,06/05/21,29/09/24,2021,2024,3,933,233.25,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Kinguyen
LDP,Lars De Palo,Belgium,,Active,3,3,0,01/10/21,Present,2021,2026,5,2913,971,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/LDP
MaximN,Maxim Nonglaire,Belgium,,Active,12,9,3,22/07/22,10/09/25,2022,2025,3,841,70.08333333,TRUE,FALSE,2,0,1,[],,https://liquipedia.net/valorant/MaximN
Nakirye,Jack Li,Belgium,,Active,2,2,0,25/02/22,Present,2022,2026,4,1510,755,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Nakirye
Nivera,Nabil Benrlitom,Belgium,,Active,3,3,0,25/09/21,13/03/24,2021,2024,3,899,299.6666667,TRUE,FALSE,1,0,0,[],,https://liquipedia.net/valorant/Nivera
ScreaM,Adil Benrlitom,Belgium,,Active,4,4,0,15/06/20,13/03/24,2020,2024,4,1366,341.5,TRUE,FALSE,1,0,1,[],,https://liquipedia.net/valorant/ScreaM
Syratch,Yildirim Siraç,Belgium,F9 EICAR Young,Active,4,4,0,20/04/23,Present,2023,2026,3,292,73,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Syratch
VapeRoald,Roald Bosteels,Belgium,,Active,2,2,0,01/02/24,02/12/24,2024,2024,0,200,100,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/VapeRoald
Vbbooy,Cossey Cédric,Belgium,,Active,3,3,0,27/07/21,30/06/25,2021,2025,4,383,127.6666667,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Vbbooy
ZENZZOR,Jeroen Saelens,Belgium,,Active,7,7,0,19/10/22,Present,2022,2026,4,1078,154,TRUE,FALSE,0,0,1,[],,https://liquipedia.net/valorant/ZENZZOR
dash,Pieter-Jan De Decker,Belgium,,Active,10,7,3,19/11/20,31/01/23,2020,2026,6,423,42.3,TRUE,FALSE,1,0,0,[],,https://liquipedia.net/valorant/Dash
matriix,Léa Ransquin,Belgium,ZennIT Orange GC,Active,5,4,1,16/01/22,Present,2022,2026,4,1030,206,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/Matriix
nGL,Nigel Deloof,Belgium,,Active,3,3,0,19/11/20,19/12/21,2020,2026,6,395,131.6666667,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/NGL
poegii,Yenthe Segers,Belgium,F9 EICAR,Active,8,8,0,17/06/22,12/02/26,2022,2026,4,1060,132.5,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Poegii
wes,John Weslie,Belgium,,Active,3,3,0,19/11/20,17/01/22,2020,2026,6,424,141.3333333,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Wes
Davidp,David Prins,Belgium,Coach,Active,11,10,1,31/07/20,31/01/25,2020,2025,5,976,88.72727273,TRUE,TRUE,2,0,2,[],,https://liquipedia.net/valorant/Davidp
Ex6TenZ,Kévin Droolans,Belgium,Gentle Mates GC(Coach),Active,7,5,2,13/05/20,Present,2020,2026,6,1045,149.2857143,TRUE,TRUE,2,0,0,[],,https://liquipedia.net/valorant/Ex6TenZ
Snowkone,Oumar Kone,Belgium,Coach,Active,8,7,1,21/02/23,Present,2023,2026,3,338,42.25,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Snowkone
XanderKast,Xander Martens,Belgium,Coach,Active,4,3,1,27/11/22,16/09/24,2022,2024,2,401,100.25,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/XanderKast
iDex,Sammy Van de Weghe,Belgium,Gentle Mates GC(Coach),Active,17,15,2,23/05/20,Present,2020,2026,6,1094,64.35294118,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/IDex
Core,Adnan Dzinic,Bosnia and Herzegovina,,Active,1,1,0,26/04/23,,2023,2026,3,0,0,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Core
r1zvaN,Adel Rizvanović,Bosnia and Herzegovina,,Active,4,3,1,01/04/23,Present,2023,2026,3,218,54.5,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/R1zvaN
Alex,Aleks Suchev,Bulgaria,,Active,1,1,0,08/04/20,25/06/20,2020,2020,0,78,78,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Alex_(Bulgarian_player)
Anita,Anna Doykova,Bulgaria,GIANTX GC,Active,2,2,0,30/09/25,Present,2025,2026,1,145,72.5,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Anita
DaGG3r,,Bulgaria,,Active,2,2,0,01/10/24,19/01/25,2024,2025,1,22,11,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/DaGG3r
Eso177,Stanislav Nikolov,Bulgaria,,Active,12,12,0,23/09/20,12/05/25,2020,2025,5,1090,90.83333333,TRUE,FALSE,1,0,1,[],,https://liquipedia.net/valorant/Eso177
Extreme,Hristiyan Trifonov,Bulgaria,,Active,5,5,0,05/01/22,08/03/23,2022,2023,1,362,72.4,TRUE,FALSE,2,0,0,[],,https://liquipedia.net/valorant/Extreme
Outcazt,Vasilen Kanchev,Bulgaria,Elite Klan,Active,3,3,0,16/12/23,Present,2023,2026,3,383,127.6666667,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Outcazt
Wolfen,Berkant Joshkun Yumer,Bulgaria,CGN Esports,Active,10,8,2,29/03/21,Present,2021,2026,5,1375,137.5,TRUE,TRUE,2,0,0,[],,https://liquipedia.net/valorant/Wolfen
blocker,Yanko Panov,Bulgaria,,Active,2,2,0,29/03/21,19/12/21,2021,2021,0,192,96,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Blocker
ico,Hristo Doykov,Bulgaria,TeamOrangeGaming,Active,3,3,0,07/03/24,13/05/25,2024,2025,1,345,115,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/Ico
nk4y,Nikola Radushev,Bulgaria,,Active,9,9,0,29/03/21,09/03/25,2021,2025,4,1021,113.4444444,TRUE,FALSE,1,0,1,[],,https://liquipedia.net/valorant/Nk4y
xek,Valentin Dinev,Bulgaria,,Active,3,3,0,29/03/21,21/02/23,2021,2023,2,224,74.66666667,TRUE,FALSE,0,0,0,[],,https://liquipedia.net/valorant/Xek
DANNYTO,Danail Sofroniev,Bulgaria,Coach,Active,5,5,0,29/03/21,14/10/25,2021,2025,4,1339,267.8,TRUE,TRUE,0,0,0,[],,https://liquipedia.net/valorant/DANNYTO
Linepro,Ivaylo Krasimirov Kolev,Bulgaria,Coach,Active,6,5,1,11/09/20,15/11/22,2020,2022,2,540,90,TRUE,TRUE,1,0,0,[],,https://liquipedia.net/valorant/Linepro
