stint_id,player_id,real_name,country,current_team,player_status,stint_number,total_stints,team,date_start,date_end,date_range,stint_status,is_current_team,duration_days,year_start,year_end,roles,player_url
11,InsaneDINI,Diyar-Ikrar Ceviz,Austria,Bodax Gaming,Active,1,2,AKA HERO,2024-05-27,2025-03-03,2024-05-27 — 2025-03-03,Active,False,280,2024.0,2025,[],https://liquipedia.net/valorant/InsaneDINI
12,InsaneDINI,Diyar-Ikrar Ceviz,Austria,Bodax Gaming,Active,2,2,Bodax Gaming,2025-08-22,2026-01-31,2025-08-22 — 2026-01-31,Active,False,162,2025.0,2026,[],https://liquipedia.net/valorant/InsaneDINI
13,Kongi,Matthias Schranz,Austria,,Active,1,5,RIZON,2021-09-14,2022-01-15,2021-09-14 — 2022-01-15,Active,False,123,2021.0,2022,[],https://liquipedia.net/valorant/Kongi
14,Kongi,Matthias Schranz,Austria,,Active,2,5,CGN Youngstars,2022-01-15,2023-02-04,2022-01-15 — 2023-02-04,Active,False,385,2022.0,2023,[],https://liquipedia.net/valorant/Kongi
15,Kongi,Matthias Schranz,Austria,,Active,3,5,Veni eSports,2023-03-20,2023-09-12,2023-03-20 — 2023-09-12,Active,False,176,2023.0,2023,[],https://liquipedia.net/valorant/Kongi
16,Kongi,Matthias Schranz,Austria,,Active,4,5,XPERION NXT,2024-01-12,2025-10-11,2024-01-12 — 2025-10-11,Active,False,638,2024.0,2025,[],https://liquipedia.net/valorant/Kongi
17,Kongi,Matthias Schranz,Austria,,Active,5,5,Dortmund eSports,2025-12-13,Present,2025-12-13 —Present,Active,True,71,2025.0,2026,[],https://liquipedia.net/valorant/Kongi
18,Marco,Marco Gleirscher,Austria,,Active,1,6,WAVE Esports,2020-07-31,2020-10-02,2020-07-31 — 2020-10-02,Active,False,63,2020.0,2020,[],https://liquipedia.net/valorant/Marco
19,Marco,Marco Gleirscher,Austria,,Active,2,6,ZEITGEIST,2020-10-03,2020-11-01,2020-10-03 — 2020-11-01,Active,False,29,2020.0,2020,[],https://liquipedia.net/valorant/Marco
20,Marco,Marco Gleirscher,Austria,,Active,3,6,RIZON,2022-08-25,2022-09-25,2022-08-25 — 2022-09-25,Active,False,31,2022.0,2022,[],https://liquipedia.net/valorant/Marco
21,Marco,Marco Gleirscher,Austria,,Active,4,6,Cupcrush Gaming,2023-02-05,2023-04-12,2023-02-05 — 2023-04-12,Active,False,66,2023.0,2023,[],https://liquipedia.net/valorant/Marco
